Nombre,URL,Lenguaje Principal,AWS,Azure,Docker,GitHub Actions,Google Cloud,Heroku,Netlify,Terraform,Vercel
proyecto-si982-2024-rec-u3-bolsa_trabajo_soto_llantay,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u3-bolsa_trabajo_soto_llantay,JavaScript,False,False,False,False,False,False,False,False,False
proyecto-si889-2025-i-u1-floresq_chambi_leyva,https://github.com/UPT-FAING-EPIS/proyecto-si889-2025-i-u1-floresq_chambi_leyva,Python,False,False,False,True,False,False,False,False,False
proyecto-si784-2025-i-u1-aas,https://github.com/UPT-FAING-EPIS/proyecto-si784-2025-i-u1-aas,PHP,False,False,False,True,False,False,False,False,False
proyecto-si784-2025-i-u1-fitmatch,https://github.com/UPT-FAING-EPIS/proyecto-si784-2025-i-u1-fitmatch,Java,False,False,False,False,False,False,False,False,False
proyecto-si784-2025-i-u1-sipre,https://github.com/UPT-FAING-EPIS/proyecto-si784-2025-i-u1-sipre,PHP,True,False,False,True,False,False,False,True,False
proyecto-si784-2025-i-u1-uni-adviser,https://github.com/UPT-FAING-EPIS/proyecto-si784-2025-i-u1-uni-adviser,PHP,False,False,False,True,False,False,False,False,False
proyecto-si885-2025-i-u1-chv_team,https://github.com/UPT-FAING-EPIS/proyecto-si885-2025-i-u1-chv_team,TSQL,False,False,False,False,False,False,False,False,False
proyecto-si885-2025-i-u1-tapia_ayma_poma_u1,https://github.com/UPT-FAING-EPIS/proyecto-si885-2025-i-u1-tapia_ayma_poma_u1,TSQL,False,False,False,True,False,False,False,True,False
proyecto-si885-2025-i-u1-fm_fr_fv,https://github.com/UPT-FAING-EPIS/proyecto-si885-2025-i-u1-fm_fr_fv,HCL,False,False,False,True,False,False,False,True,False
proyecto-si889-2025-i-u1-ticona_martinez_perez,https://github.com/UPT-FAING-EPIS/proyecto-si889-2025-i-u1-ticona_martinez_perez,JavaScript,False,False,False,True,False,False,False,True,False
proyecto-si889-2025-i-u1-agreda_contreras_ortiz,https://github.com/UPT-FAING-EPIS/proyecto-si889-2025-i-u1-agreda_contreras_ortiz,JavaScript,False,True,False,True,False,False,False,True,False
